,Company,PriceRs.,Day HighRs.
0,Garden Reach Ship,648.05,666.50
1,Bank of Maharashtra,38.60,39.20
2,Aurobindo Pharma,870.70,887.70
3,Trent,1929.60,1933.45
4,Coforge,5279.55,5348.00
5,ONGC,178.50,180.45
6,Bombay Dyeing Mfg.,128.70,130.40
7,J&K Bank,77.30,79.50
8,Genus Power Infra,227.00,229.90
9,Technocraft Inds,1916.70,1973.00
10,Himadri Speciality,168.25,168.95
11,Bajaj Hindusthan Sug,21.60,21.85
12,Kirloskar Oil Eng,499.90,519.00
13,Schneider Ele. Infra,318.90,324.40
14,Astrazeneca Pharma I,4058.05,4266.00
